Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2021-05-31T23:57:25,2021-06-01T00:05:46,094,Laajalahden aukio,100,Teljäntie,2043,500
2021-05-31T23:56:59,2021-06-01T00:07:14,082,Töölöntulli,113,Pasilan asema,1870,611
2021-05-25T18:04:43,2021-05-25T18:18:17,030,Itämerentori,072,Eteläinen Hesperiankatu,1462,810
2021-05-25T18:04:38,2021-05-25T18:11:30,020,Kaisaniemenpuisto,007,Designmuseo,1319,408
2021-05-25T18:04:38,2021-05-25T18:34:31,148,Juhana Herttuan tie,141,Intiankatu,3526,1789
2021-05-25T18:04:34,2021-05-25T18:15:26,073,Kesäkatu,091,Seurasaari,2384,650
2021-05-18T14:11:15,2021-05-18T14:33:17,064,Tyynenmerenkatu,126,Kalasatama (M),5811,1318
2021-05-18T14:11:06,2021-05-18T14:28:51,064,Tyynenmerenkatu,001,Kaivopuisto,2967,1060
2021-05-18T14:11:06,2021-05-18T14:34:05,113,Pasilan asema,012,Kanavaranta,5145,1374
2021-05-15T17:30:56,2021-05-15T18:47:29,077,Nordenskiöldinaukio,094,Laajalahden aukio,9001,4586
2021-05-15T17:30:54,2021-05-15T17:39:08,001,Kaivopuisto,026,Kamppi (M),1984,489
2021-05-15T17:30:48,2021-05-15T18:14:41,123,Näkinsilta,150,Töölönlahden puisto,2276,678
2021-05-13T09:42:38,2021-05-13T09:52:20,137,Arabian kauppakeskus,113,Pasilan asema,2086,578
2021-05-13T09:42:27,2021-05-13T09:48:59,271,Prinsessantie,262,Siilitie (M),925,388
2021-05-13T09:42:22,2021-05-13T10:00:36,089,Tilkanvierto,038,Töölöntori,2715,739
2021-05-13T09:42:22,2021-05-13T09:57:48,707,Majurinkulma,216,Jännetie,2928,9
2021-05-12T15:50:29,2021-05-12T16:01:57,058,Lauttasaarensilta,501,Hanasaari,3056,686
2021-05-12T15:50:29,2021-05-12T16:00:23,012,Kanavaranta,066,Ehrenströmintie,2,593
2021-05-12T15:50:27,2021-05-12T15:58:23,014,Senaatintori,001,Kaivopuisto,1741,474
2021-05-01T00:00:32,2021-05-01T00:29:03,002,Laivasillankatu,201,Länsisatamankuja,4,10
2021-05-01T00:00:30,2021-05-01T00:11:55,025,Narinkka,123,Näkinsilta,2088,679
2021-05-01T00:00:30,2021-05-01T00:09:53,017,Varsapuistikko,045,Brahen kenttä,1688,558
2021-05-01T00:00:11,2021-05-01T00:04:34,138,Arabiankatu,138,Arabiankatu,1057,259
